bigg_id	smiles	mol_weight	xlogp	hbond_acceptor	hbond_donor	tpsa	ring_count	formal_charge
5adtststerone		290.4	3.7	2	1	37.3	0	0
5adtststerones		370.5	3.3	5	1	89.1	0	0
5aizc		339.2	-3.2	11	6	198.0	0	0
5aop		131.13	-3.8	4	2	80.4	0	0
5eipenc		302.5	5.6	2	1	37.3	0	0
5forthf		472.5	-1.2	10	8	222.0	0	0
5fthf		473.4	-1.2	10	7	216.0	0	0
5g2oxpt		173.17	-1.6	4	3	119.0	0	0
5hoxindact		175.18	0.3	2	2	53.1	0	0
5htrp		220.22	-1.2	4	4	99.3	0	0
5hoxindoa		191.18	1.1	3	3	73.3	0	0
5mdr1p		260.2	-2.3	8	4	142.0	0	0
5mdru1p		260.2	-2.4	8	4	150.0	0	0
5mta		297.34	-0.3	8	3	145.0	0	0
5ohfvs		427.5	2.7	6	4	103.0	0	0
5mthf		459.5	-0.5	10	7	198.0	0	0
5oxpro		129.11	-0.8	3	2	66.4	0	0
5ohhexa		132.16	0.2	3	2	57.5	0	0
6a2ohxnt		145.16	-2.9	4	2	80.4	0	0
6hddopaqn		197.14	0.0	5	3	107.0	0	0
6htststerone		304.4	2.0	3	2	57.5	0	0
6pgc		276.14	-4.5	10	7	185.0	0	0
6pgl		258.12	-3.7	9	5	154.0	0	0
6pthp		237.22	-1.7	6	4	126.0	0	0
6thf		1087.0	-18.7	30	14	591.0	0	0
7dhchsterol		384.6	8.0	1	1	20.2	0	0
7ohocata		160.21	1.1	3	2	57.5	0	0
C01041		175.12	-1.8	5	3	88.0	0	0
C01601		157.23	4.2	2	0	40.1	0	0
C02356		103.12	-2.5	3	2	63.3	0	0
C02470		205.17	0.9	5	3	86.6	0	0
C02528		391.6	5.6	4	2	80.6	0	0
C03681		316.5	4.4	2	0	34.1	0	0
C02712		191.25	0.1	4	2	91.7	0	0
C01747		461.6	3.7	8	6	146.0	0	0
C04805		320.5	5.2	3	2	57.5	0	0
C05109		428.7	9.4	1	1	20.2	0	0
C04717		311.4	6.0	4	1	69.6	0	0
C04849		335.5	4.7	4	1	72.9	0	0
C05298		286.4	2.8	3	2	57.5	0	0
C05299		300.4	3.1	3	1	46.5	0	0
C05279		945.8	-1.5	22	9	389.0	0	0
C05302		302.4	4.0	3	2	49.7	0	0
C05767		830.7	-1.0	18	10	356.0	0	0
C05301		288.4	3.7	3	3	60.7	0	0
C05300		286.4	2.6	3	2	57.5	0	0
C05769		654.7	2.6	10	6	207.0	0	0
C05280		945.8	-1.7	22	9	389.0	0	0
C05770		654.7	2.6	10	6	207.0	0	0
C05957		334.4	3.6	4	2	74.6	0	0
C06314		351.5	3.7	5	3	101.0	0	0
C07297		1062.0	1.2	23	9	406.0	0	0
C11695		347.5	5.4	2	2	49.3	0	0
C09642		179.22	1.0	3	3	52.5	0	0
C06315		351.5	3.7	5	3	101.0	0	0
C14769		320.5	5.4	3	1	49.8	0	0
C14770		320.5	5.4	3	1	49.8	0	0
C08261		188.22	1.6	4	2	74.6	0	0
C14825		296.4	5.6	3	1	49.8	0	0
CE0074		142.07	-1.0	4	2	92.3	0	0
C14771		320.5	5.3	3	1	49.8	0	0
C14826		296.4	5.6	3	1	49.8	0	0
CE0233		420.7	6.3	3	3	60.7	0	0
CE0347		320.5	5.2	3	2	57.5	0	0
CE0737		72.06	-0.6	2	0	34.1	0	0
CE0955		370.5	1.4	6	4	115.0	0	0
CE1243		280.4	4.1	3	2	57.5	0	0
CE1273		452.7	3.8	5	5	101.0	0	0
CE1261		316.33	-5.2	9	6	192.0	0	0
CE1352		412.5	2.5	6	2	109.0	0	0
CE1310		163.2	0.4	4	3	67.4	0	0
CE1447		368.5	2.6	6	3	104.0	0	0
CE1401		117.17	-0.1	3	1	68.4	0	0
CE1562		190.13	0.1	5	1	86.3	0	0
CE1918		177.2	0.5	2	3	56.3	0	0
CE1556		174.15	-1.8	4	3	109.0	0	0
CE1925		150.17	1.2	2	1	29.5	0	0
CE1617		299.4	6.9	2	0	40.1	0	0
CE1589		1142.1	-0.5	24	11	429.0	0	0
CE1935		204.33	-1.1	1	3	77.9	0	0
CE1936		200.28	-1.1	4	2	58.2	0	0
CE1939		144.21	-1.0	3	2	55.1	0	0
CE2006		156.22	1.7	2	1	37.3	0	0
CE2028		117.12	0.3	3	1	60.4	0	0
CE2047		314.5	4.6	4	3	77.8	0	0
CE2053		350.4	2.3	5	3	94.8	0	0
CE2176		211.21	-2.4	5	3	92.8	0	0
CE2056		368.5	2.0	6	5	118.0	0	0
CE2049		314.5	4.6	4	3	77.8	0	0
CE2209		292.5	4.2	2	2	40.5	0	0
CE2172		165.19	0.6	3	3	52.5	0	0
CE2211		318.5	4.9	2	1	37.3	0	0
CE2242		1084.1	4.5	22	5	400.0	0	0
CE2248		1046.0	1.1	23	6	420.0	0	0
CE2250		1100.1	3.4	23	5	417.0	0	0
CE2249		1130.1	4.3	23	6	420.0	0	0
CE2253		1132.1	4.8	23	9	406.0	0	0
CE2313		412.7	8.2	1	1	20.2	0	0
CE2314		414.7	8.8	1	1	20.2	0	0
CE2420		963.8	-2.6	23	10	409.0	0	0
CE2418		1017.9	-1.3	23	10	409.0	0	0
CE2421		1046.0	-0.2	23	10	409.0	0	0
CE2537		322.5	5.7	3	2	57.5	0	0
CE2510		310.5	7.6	2	1	37.3	0	0
CE2445		336.5	4.1	4	3	77.8	0	0
CE2577		154.21	1.6	2	0	34.1	0	0
CE2576		172.22	1.7	3	1	46.5	0	0
CE2838		1477.3	-16.7	46	29	751.0	0	0
CE2705		239.23	-2.2	6	5	132.0	0	0
CE2839		1639.4	-21.9	51	32	823.0	0	0
CE2866		525.08	1.1	5	3	92.8	0	0
CE2872		525.08	1.1	5	3	92.8	0	0
CE2915		521.6	1.3	6	4	159.0	0	0
CE2875		479.2	-0.2	8	3	145.0	0	0
CE2916		716.8	-1.0	11	7	249.0	0	0
CE2874		399.18	0.4	5	3	92.8	0	0
CE3554		384.5	1.3	7	6	138.0	0	0
CE4722		750.8	-0.4	11	7	249.0	0	0
CE2917		1550.8	-7.1	22	19	658.0	0	0
CE4723		603.7	-1.7	10	6	220.0	0	0
CE4633		52.46	0.3	1	1	20.2	0	0
CE4724		1403.7	-8.4	21	18	629.0	0	0
CE4817		1096.0	-0.1	23	10	409.0	0	0
CE4820		1122.1	1.1	23	9	406.0	0	0
CE4819		1094.0	0.0	23	9	406.0	0	0
CE4821		1078.0	1.1	22	9	389.0	0	0
CE4831		1098.0	0.6	23	10	409.0	0	0
CE4833		1096.0	0.7	23	9	406.0	0	0
CE4834		1124.1	1.8	23	9	406.0	0	0
